Time	Open	High	Low	Close	Volume
2009-08-07 00:00:00	1.6676	1.6705	1.66575	1.66825	45043	16
2009-08-09 00:00:00	1.66712	1.6691	1.6658	1.66805	8201	24
2009-08-10 00:00:00	1.66805	1.67185	1.64305	1.6475	246283	14
2009-08-11 00:00:00	1.6475	1.6523	1.6431	1.6488	292397	21
2009-08-12 00:00:00	1.64875	1.656	1.639	1.65065	288947	23
2009-08-13 00:00:00	1.65065	1.66635	1.64845	1.65655	223772	20
2009-08-14 00:00:00	1.6565	1.66075	1.6484	1.6541	190332	16
2009-08-16 00:00:00	1.65055	1.652	1.6464	1.64655	6462	16
2009-08-17 00:00:00	1.6466	1.6482	1.6275	1.63515	310563	18
2009-08-18 00:00:00	1.63515	1.6593	1.63285	1.65875	276618	14
2009-08-19 00:00:00	1.65875	1.65895	1.6375	1.65555	234643	13
2009-08-20 00:00:00	1.6555	1.66045	1.645	1.6504	236968	24
2009-08-21 00:00:00	1.6504	1.6624	1.64185	1.6506	227418	9
2009-08-23 00:00:00	1.64983	1.6525	1.6485	1.6512	7912	17
2009-08-24 00:00:00	1.6512	1.65445	1.63915	1.64055	305160	24
2009-08-25 00:00:00	1.64055	1.64455	1.63085	1.6313	339551	20
2009-08-26 00:00:00	1.6313	1.6354	1.6159	1.6227	321686	20
2009-08-27 00:00:00	1.6228	1.63045	1.61535	1.6288	299486	15
2009-08-28 00:00:00	1.6288	1.63815	1.62565	1.62665	281141	19
2009-08-30 00:00:00	1.62634	1.62802	1.62365	1.62665	14052	18
2009-08-31 00:00:00	1.62665	1.63295	1.6183	1.6284	238889	30
2009-09-01 00:00:00	1.6284	1.63755	1.61125	1.6125	341409	22
2009-09-02 00:00:00	1.6125	1.6299	1.6114	1.628	335186	29
2009-09-03 00:00:00	1.628	1.6413	1.6236	1.6324	293668	17
2009-09-04 00:00:00	1.63235	1.64105	1.6286	1.639	227739	23
2009-09-06 00:00:00	1.6387	1.6419	1.63787	1.6415	4568	17
2009-09-07 00:00:00	1.6415	1.64435	1.6325	1.6336	146318	20
2009-09-08 00:00:00	1.63355	1.65875	1.63215	1.6515	272438	23
2009-09-09 00:00:00	1.6515	1.65915	1.6455	1.6534	312472	24
2009-09-10 00:00:00	1.6536	1.6687	1.64805	1.6653	276754	28
2009-09-11 00:00:00	1.6652	1.67415	1.6644	1.6655	184718	15
2009-09-13 00:00:00	1.66768	1.66865	1.66525	1.66525	6354	17
2009-09-14 00:00:00	1.6654	1.6654	1.6521	1.6606	189555	16
2009-09-15 00:00:00	1.6606	1.666	1.64015	1.64885	258118	18
2009-09-16 00:00:00	1.64895	1.65335	1.64315	1.64765	251634	14
2009-09-17 00:00:00	1.64755	1.65675	1.64255	1.64335	265003	21
2009-09-18 00:00:00	1.64335	1.64385	1.623	1.62695	251364	16
2009-09-20 00:00:00	1.62215	1.62645	1.62085	1.62505	6249	25
2009-09-21 00:00:00	1.6251	1.62625	1.61335	1.62165	169849	23
2009-09-22 00:00:00	1.6216	1.6405	1.6216	1.6381	231498	26
2009-09-23 00:00:00	1.638	1.64675	1.6317	1.63555	254286	27
2009-09-24 00:00:00	1.63545	1.63865	1.5915	1.59465	276531	25
2009-09-25 00:00:00	1.59465	1.6046	1.59165	1.59485	237889	29
2009-09-27 00:00:00	1.59621	1.59755	1.58155	1.5859	12690	23
2009-09-28 00:00:00	1.5859	1.5925	1.57695	1.58865	227861	29
2009-09-29 00:00:00	1.58865	1.5989	1.58245	1.59685	265330	29
2009-09-30 00:00:00	1.5968	1.61255	1.59445	1.6	269080	24
2009-10-01 00:00:00	1.6	1.6024	1.5888	1.58935	256214	24
2009-10-02 00:00:00	1.58935	1.59545	1.5803	1.59475	306959	24
2009-10-04 00:00:00	1.59423	1.5953	1.59175	1.59295	7947	18
2009-10-05 00:00:00	1.59305	1.60235	1.5902	1.59465	258940	21
2009-10-06 00:00:00	1.59465	1.60475	1.58755	1.59215	288277	26
2009-10-07 00:00:00	1.5922	1.5976	1.5858	1.59625	305348	22
2009-10-08 00:00:00	1.59625	1.612	1.5951	1.60515	307104	23
2009-10-09 00:00:00	1.60505	1.6059	1.5825	1.58425	296989	27
2009-10-11 00:00:00	1.58341	1.58685	1.58303	1.58465	7403	13
2009-10-12 00:00:00	1.5846	1.5882	1.57275	1.58125	221435	25
2009-10-13 00:00:00	1.58115	1.59385	1.5708	1.59315	277185	33
2009-10-14 00:00:00	1.59315	1.6024	1.5902	1.60045	252410	28
2009-10-15 00:00:00	1.60035	1.63395	1.6001	1.6337	281576	25
2009-10-16 00:00:00	1.6337	1.6399	1.62515	1.63545	233509	23
2009-10-18 00:00:00	1.62908	1.63705	1.6282	1.6352	13032	16
2009-10-19 00:00:00	1.6353	1.6435	1.62405	1.6408	239447	22
2009-10-20 00:00:00	1.6408	1.64885	1.6328	1.63785	262854	25
2009-10-21 00:00:00	1.63785	1.66365	1.63465	1.66185	292571	23
2009-10-22 00:00:00	1.66185	1.66375	1.64865	1.66285	249782	25
2009-10-23 00:00:00	1.66285	1.66935	1.62995	1.63035	259009	22
2009-10-25 00:00:00	1.62886	1.63255	1.62665	1.6267	5452	19
2009-10-26 00:00:00	1.62685	1.6395	1.62505	1.6294	237920	27
2009-10-27 00:00:00	1.6295	1.64385	1.6285	1.63925	278178	20
2009-10-28 00:00:00	1.63925	1.6467	1.6285	1.6374	253086	27
2009-10-29 00:00:00	1.6374	1.6603	1.63375	1.6561	237677	24
2009-10-30 00:00:00	1.6561	1.6579	1.64085	1.64595	212891	21
2009-11-01 00:00:00	1.6403	1.6439	1.63445	1.6413	9398	76
2009-11-02 00:00:00	1.64125	1.64775	1.63285	1.63925	265924	20
2009-11-03 00:00:00	1.63925	1.6455	1.6261	1.6421	255612	28
2009-11-04 00:00:00	1.64205	1.6597	1.64	1.65555	269294	28
2009-11-05 00:00:00	1.65555	1.66355	1.64655	1.65725	247762	23
2009-11-06 00:00:00	1.6572	1.6635	1.65175	1.66092	225173	21
