Time	Open	High	Low	Close	Volume
2013-05-22 00:00:00	3029.127	3045.114	2983.541	3004.966	456	2213
2013-05-23 00:00:00	3005.197	3006.972	2961.128	2999.245	1375	2177
2013-05-24 00:00:00	2999.21	3002.548	2994.974	2997.675	225	2181
2013-05-27 00:00:00	2998.61	3002.192	2984.572	2999.353	1002	2172
2013-05-28 00:00:00	2999.412	3036.306	2999.053	3005.292	1369	2231
2013-05-29 00:00:00	3005.289	3008.198	2978.245	2992.838	1372	2250
2013-05-30 00:00:00	2993.015	3025.315	2981.525	3009.321	1372	2205
2013-05-31 00:00:00	3009.263	3022.51	2977.001	2977.001	1244	2162
2013-06-03 00:00:00	2983.002	2989.37	2949.961	2985.373	495	2247
2013-06-04 00:00:00	2985.35	3006.572	2960.875	2972.92	1373	2233
2013-06-05 00:00:00	2972.912	2977.295	2931.835	2941.127	1363	2172
2013-06-06 00:00:00	2941.104	2953.75	2910.343	2947.531	1375	2205
2013-06-07 00:00:00	2947.64	2991.89	2941.613	2985.024	1245	2197
2013-06-10 00:00:00	2981.786	3004.033	2981.083	2986.958	1371	2195
2013-06-11 00:00:00	2987.06	2988.578	2949.935	2965.545	1370	2203
2013-06-12 00:00:00	2965.677	2978.1	2918.948	2920.814	1083	2126
2013-06-13 00:00:00	2921.157	2968.367	2897.022	2966.078	1362	2178
2013-06-14 00:00:00	2965.862	2966.01	2937.795	2940.737	1231	2195
2013-06-17 00:00:00	2948.228	2987.671	2947.5	2970.538	1078	2242
2013-06-18 00:00:00	2970.542	3000.635	2969.263	2994.573	1325	2188
2013-06-19 00:00:00	2994.886	3001.878	2957.211	2957.624	1356	2212
2013-06-20 00:00:00	2957.978	2959.77	2880.886	2883.762	1368	2200
2013-06-21 00:00:00	2883.897	2904.27	2851.064	2870.552	1246	2177
2013-06-24 00:00:00	2874.318	2875.031	2824.026	2857.231	1376	2223
2013-06-25 00:00:00	2857.136	2879.122	2836.2	2858.172	1371	2201
2013-06-26 00:00:00	2858.111	2898.592	2851.691	2888.217	1362	2199
2013-06-27 00:00:00	2888.253	2923.646	2887.968	2904.164	1358	2211
2013-06-28 00:00:00	2904.151	2926.837	2889.736	2905.727	1240	2202
2013-07-01 00:00:00	2907.567	2950.436	2898.086	2925.199	1356	2197
2013-07-02 00:00:00	2924.771	2945.188	2911.406	2926.208	1349	2213
2013-07-03 00:00:00	2926.152	2952.873	2901.002	2944.525	1132	2155
2013-07-04 00:00:00	2944.449	2971.061	2944.19	2967.132	1006	2209
2013-07-05 00:00:00	2967.548	2974.935	2932.242	2966.988	1229	2199
2013-07-08 00:00:00	2970.739	2982.251	2953.396	2966.508	1365	2125
2013-07-09 00:00:00	2966.594	2989.261	2963.614	2982.317	1364	2176
2013-07-10 00:00:00	2982.374	3024.491	2973.579	3021.447	1372	2241
2013-07-11 00:00:00	3021.415	3061.505	3020.178	3056.062	1374	2207
2013-07-12 00:00:00	3055.798	3074.322	3053.232	3069.183	1233	2220
2013-07-15 00:00:00	3070.074	3080.978	3067.003	3078.18	1347	2187
2013-07-16 00:00:00	3077.833	3084.682	3067.777	3076.599	1333	2232
2013-07-17 00:00:00	3076.548	3090.17	3069.575	3076.17	1357	2210
2013-07-18 00:00:00	3076.21	3090.899	3049.406	3051.522	1373	2205
2013-07-19 00:00:00	3051.447	3052.081	3034.52	3047.413	1238	2238
2013-07-22 00:00:00	3050.564	3059.058	3042.842	3056.847	1367	2201
2013-07-23 00:00:00	3056.851	3064.381	3028.125	3043.785	1369	2156
2013-07-24 00:00:00	3043.532	3061.591	3033.188	3055.526	1364	2209
2013-07-25 00:00:00	3055.545	3062.682	3032.04	3058.281	1368	2184
2013-07-26 00:00:00	3058.501	3077.702	3042.126	3077.08	1240	2212
2013-07-29 00:00:00	3075.764	3082.842	3061.142	3072.008	1354	2195
2013-07-30 00:00:00	3072.025	3098.877	3071.757	3088.526	1357	2181
2013-07-31 00:00:00	3088.208	3109.362	3083.529	3095.859	1361	2224
2013-08-01 00:00:00	3095.8	3127.899	3095.261	3122.084	1366	2249
2013-08-02 00:00:00	3122.259	3142.296	3116.77	3140.836	1238	2189
2013-08-05 00:00:00	3138.662	3143.668	3131.553	3137.546	1358	2160
2013-08-06 00:00:00	3137.69	3142.887	3109.897	3120.291	1357	2184
2013-08-07 00:00:00	3120.387	3122.883	3094.38	3120.843	1369	2152
2013-08-08 00:00:00	3120.957	3136.996	3109.458	3128.191	1367	2204
2013-08-09 00:00:00	3127.58	3135.481	3118.874	3125.158	881	2204
2013-08-12 00:00:00	3101.916	3130.157	3095.175	3123.458	834	2219
2013-08-13 00:00:00	3123.56	3147.872	3105.036	3138.659	1367	2159
2013-08-14 00:00:00	3138.587	3143.63	3106.233	3107.268	1371	2198
2013-08-15 00:00:00	3107.18	3114.695	3066.646	3074.612	1371	2229
